Features,Model,Accuracy,Precision,Recall,F1
count,MultinomialNB,0.7154639175257732,0.706800716647796,0.7154639175257732,0.7017465117036021
count,LogisticRegression,0.7515463917525773,0.748730087540117,0.7515463917525773,0.737967588664252
tfidf,MultinomialNB,0.6752577319587629,0.6957045479171388,0.6752577319587629,0.6053047353691604
tfidf,LogisticRegression,0.7175257731958763,0.7119791734376828,0.7175257731958763,0.6917229525190955
